Word,Type,Definition,Association
trazer,verb,to bring,
fechar,verb,to close,
encontro,noun,meeting,
preciso,adjective,accurate,
Maria,proper noun,Mary,
falta,noun,lack,
sofrer,verb,to suffer,
assumir,verb,to assume,
policial,noun,the police,
transporte,noun,transport,
escolher,verb,to choose,
elevar,verb,to raise,
campo,noun,field,
fonte,noun,source,
organizar,verb,to organize,
avaliação,noun,evaluation,
logo,adverb,soon,
cumprir,verb,to fulfill,
escrever,verb,to write,
vista,noun,view,
porta,noun,door,
partido,noun,party,
instalação,noun,installation,
crescer,verb,to grow up,
referência,noun,reference,
estratégia,noun,strategy,
entregar,verb,to deliver,
título,noun,title,
registar,verb,to register,
termo,noun,term,
visita,noun,visit,
nota,noun,note,
responsabilidade,noun,responsibility,
aplicar,verb,to apply,
estrutura,noun,structure,
comercial,adjective,commercial,
contexto,noun,context,
prémio,noun,prize,
disponibilizar,verb,make available,
vídeo,noun,video,
apresentação,noun,presentation,
deputado,noun,deputy,
sim,adverb,yes,
oficial,adjective,official,
morrer,verb,to die,
verdade,noun,truth,
servir,verb,to serve,
atenção,noun,attention,
fácil,adjective,easy,
simples,adjective,simple,
voto,noun,vote,
diferentes,determiner,different,
material,noun,material,
Santa,proper noun,,
edifício,noun,building,
território,noun,territory,
música,noun,music,
terminar,verb,to finish,
estudante,noun,student,
compra,noun,purchase,
entender,verb,to understand,
prefeitura,noun,prefecture,
viagem,noun,travel,
vírus,noun,virus,
fundamental,adjective,fundamental,
particular,adjective,private,
estabelecer,verb,to establish,
privado,adjective,private,
Coimbra,proper noun,Coimbra,
atual,adjective,current,
Silva,proper noun,Silva,
bastante,adverb,enough,
emprego,noun,job,
ligar,verb,to call,
cidadão,noun,citizen,
registo,noun,registration,
municipal,adjective,municipal,
plataforma,noun,platform,
impacto,noun,impact,
interior,noun,interior,
gerar,verb,to generate,
Santos,proper noun,,
cuidado,noun,caution,
oferta,noun,offer,
médio,adjective,medium,
preparar,verb,to prepare,
essencial,adjective,essential,
contacto,noun,contact,
posição,noun,position,
carro,noun,car,
reconhecer,verb,to recognize,
movimento,noun,movement,
ouvir,verb,to hear,
educação,noun,education,
global,adjective,global,
redução,noun,reduction,
olhar,verb,to look,
dúvida,noun,doubt,
seguro,adjective,safe,
comum,adjective,common,
vencer,verb,to win,
idade,noun,age,
isolamento,noun,isolation,
cultura,noun,culture,
possuir,verb,to possess,
militar,adjective,military,
parceria,noun,partnership,
agosto,noun,August,
Pedro,proper noun,Peter,
banco,noun,bank,
pesquisa,noun,research,
órgão,noun,organ,
causar,verb,to cause,
fevereiro,noun,February,
manhã,noun,morning,
reforçar,verb,to reinforce,
ligação,noun,link,
líder,noun,leader,
lembrar,verb,to remember,
prestar,verb,give,
exposição,noun,"exhibition, exposure",
ninguém,pronoun,nobody,
consumo,noun,consumption,
avaliar,verb,to evaluate,
científico,adjective,scientific,
rápido,adjective,fast,
lista,noun,list,
estrangeiro,adjective,foreign,
bairro,noun,neighborhood,
cair,verb,to fall,
sobretudo,adverb,above all,
histórico,adjective,historical,
terra,noun,land,
controlo,noun,control,
ontem,adverb,yesterday,
futebol,noun,football,
digital,adjective,digital,
real,adjective,real,
cargo,noun,office,
melhorar,verb,to improve,
atender,verb,to answer,
avançar,verb,to advance,
defesa,noun,defence,
específico,adjective,specific,
físico,adjective,physical,
mãe,noun,mother,
suspeito,noun,suspect,
acrescentar,verb,add,
recente,adjective,recent,
realização,noun,realization,
porém,conjunction,but,
termos,noun,terms,
origem,noun,origin,
cultural,adjective,cultural,
fato,noun,fact,
governador,noun,governor,
respeito,noun,respect,
contudo,adverb,however,
analisar,verb,to analyze,
autor,noun,author,
familiar,adjective,familiar,
arte,noun,art,
exigir,verb,to require,
leitura,noun,reading,
face,adverb,face,
regime,noun,regime,
maneira,noun,manner,
princípio,noun,principle,
ordem,noun,order,
Carlos,proper noun,Carlos,
entrevista,noun,interview,
construir,verb,build,
assegurar,verb,to ensure,
filme,noun,movie,
quarto,noun,bedroom,
vitória,noun,victory,
jogar,verb,to play,
versão,noun,version,
nomeadamente,adverb,namely,
igualmente,adverb,equally,
aparecer,verb,to appear,
parceiro,noun,partner,
comprar,verb,to buy,
cor,noun,color,
concluir,verb,to conclude,
concurso,noun,competition,
partida,noun,departure,
bilhão,numeral,billion,
via,noun,way,
competência,noun,competence,
acima,adverb,above,
animal,noun,animal,
grave,adjective,serious,
crédito,noun,credit,
ao,preposition,to,
secretário,noun,secretary,
quadro,noun,painting,
vender,verb,to sell,
perceber,verb,to notice,
exercício,noun,exercise,
diverso,adjective,diverse,
livre,adjective,free,
procedimento,noun,procedure,
notícia,noun,news,
federal,adjective,federal,
especialista,noun,specialist,
dedicar,verb,to dedicate,
atuar,verb,to act,
assunto,noun,subject,
António,proper noun,Antonio,
vacina,noun,vaccine,
queda,noun,a fall,
dimensão,noun,dimension,
ciclo,noun,cycle,
online,adjective,online,
freguesia,noun,parish,
andar,verb,to walk,
participante,noun,participant,
relacionar,verb,to relate,
funcionamento,noun,functioning,
doente,noun,sick,
funcionário,noun,employee,
administração,noun,administration,
ferramenta,noun,tool,
sala,noun,living room,
espécie,noun,species,
ajuda,noun,help,
esforço,noun,effort,
resolver,verb,to solve,
receita,noun,recipe,
passo,noun,step,
povo,noun,people,
percurso,noun,route,
time,noun,a team,
agência,noun,agency,
Costa,proper noun,coast,
candidatura,noun,candidacy,
capaz,adjective,capable,
correr,verb,to run,
contrário,noun,contrary,
agente,noun,agent,
relatório,noun,report,
significar,verb,to mean,
ler,verb,to read,
combate,noun,combat,
Luís,proper noun,Luis,
polícia,noun,police,
aí,adverb,there,
mundial,adjective,worldwide,
sinal,noun,signal,
visitar,verb,to visit,
conforme,conjunction,according,
evolução,noun,evolution,
perto,adverb,close,
excelente,adjective,excellent,
sete,numeral,seven,
máscara,noun,mask,
nascer,verb,born,
declaração,noun,declaration,
destinar,verb,to destine,
câmara,noun,chamber,
enfrentar,verb,to face,
ocupar,verb,to occupy,
estadual,adjective,state,
reunir,verb,to gather,
formar,verb,to form,
dez,numeral,ten,
valer,verb,worth,
óbito,noun,a death,
cenário,noun,scenario,
descobrir,verb,to discover,
diferença,noun,difference,
buscar,verb,fetch,
executivo,noun,executive,
vaga,noun,vacancy,
opinião,noun,opinion,
verificar,verb,check,
justiça,noun,justice,
alguém,pronoun,someone,
natureza,noun,nature,
relativo,adjective,relative,
solicitar,verb,to request,
provocar,verb,provoke,
China,proper noun,China,
aula,noun,class,
visar,verb,to aim,
aceitar,verb,to accept,
ambos,determiner,both,
limite,noun,limit,
recuperar,verb,to recover,
vigor,noun,vigor,
subir,verb,go up,
actual,adjective,current,
aproveitar,verb,enjoy,
alcançar,verb,reach,
ar,noun,air,
jornal,noun,newspaper,
tradicional,adjective,traditional,
festa,noun,party,
propor,verb,to propose,
década,noun,decade,
adquirir,verb,to purchase,
associar,verb,to associate,
principalmente,adverb,mainly,
enorme,adjective,huge,
mal,adverb,bad,
relativamente,adverb,relatively,
permanecer,verb,to stay,
depender,verb,to depend,
característica,noun,characteristic,
adotar,verb,to adopt,
matéria,noun,matter,
assinar,verb,to sign,
indústria,noun,industry,
entrega,noun,delivery,
luz,noun,light,
restante,adjective,remaining,
amor,noun,love,
média,noun,average,
saída,noun,exit,
Algarve,proper noun,Algarve,
econômico,adjective,economic,
loja,noun,store,
estabelecimento,noun,establishment,
resultar,verb,to result,
respeitar,verb,to respect,
motivo,noun,reason,
memória,noun,memory,
Espanha,proper noun,Spain,
escolha,noun,choice,
portanto,conjunction,therefore,
aprender,verb,to learn,
consumidor,noun,consumer,
efectuar,verb,carry out,
central,adjective,central,
missão,noun,mission,
adequado,adjective,adequate,
oito,numeral,eight,
talvez,adverb,perhaps,
norma,noun,norm,
promoção,noun,promotion,
proteção,noun,protection,
orientação,noun,orientation,
manutenção,noun,maintenance,
canal,noun,channel,
compor,verb,to compose,
alterar,verb,to change,
automóvel,noun,automobile,
vontade,noun,will,
comportamento,noun,behavior,
Jesus,proper noun,Jesus,
pena,noun,sadness,
mar,noun,sea,
declarar,verb,to declare,
elas,pronoun,they,
aquilo,pronoun,that,
Francisco,proper noun,Francisco,
exterior,noun,outside,
protocolo,noun,protocol,
conselho,noun,advice,
comércio,noun,trade,
completo,adjective,complete,
carreira,noun,career,
comunicar,verb,to communicate,
debate,noun,debate,
proporcionar,verb,to provide,
sede,noun,thirst,
expectativa,noun,expectation,
abertura,noun,opening,
benefício,noun,benefit,
despesa,noun,expense,
interno,adjective,internal,
imprensa,noun,the press,
financiamento,noun,financing,
observar,verb,to observe,
obrigatório,adjective,mandatory,
civil,adjective,civil,
ciência,noun,science,
existente,adjective,existing,
servidor,noun,server,
revista,noun,magazine,
mau,adjective,bad,
consequência,noun,consequence,
preocupação,noun,worry,
atribuir,verb,to assign,
posto,noun,post,
localizar,verb,to locate,
fornecer,verb,to provide,
branco,adjective,white,
contato,noun,contact,
conferência,noun,conference,
prisão,noun,prison,
horário,noun,time,
melhoria,noun,improvement,
advogado,noun,lawyer,
tirar,verb,take away,
eleitoral,adjective,electoral,
diretor,noun,director,
empresário,noun,"businessman, entrepreneur",
artista,noun,artist,
luta,noun,fight,
procura,noun,search,
atleta,noun,athlete,
ativo,adjective,active,
liberdade,noun,freedom,
publicação,noun,publication,
conceito,noun,concept,
individual,adjective,individual,
confiança,noun,confidence,
respectivo,adjective,respective,
jornalista,noun,journalist,
igual,adjective,equal,
vereador,noun,councilor,
destaque,noun,featured,
dívida,noun,debt,
busca,noun,searching,
negativo,adjective,negative,
ataque,noun,attack,
imediato,adjective,immediate,
idoso,noun,elderly,
expressão,noun,expression,
competição,noun,competition,
acidente,noun,accident,
salário,noun,salary,
Madeira,proper noun,wood,
verdadeiro,adjective,true,
normal,adjective,normal,
prender,verb,arrest,
estudar,verb,to study,
Oliveira,proper noun,olive tree,
instalar,verb,to install,
Aveiro,proper noun,Aveiro,
consulta,noun,consultation,
orçamento,noun,budget,
demais,determiner,too much,
temporada,noun,season,
sequência,noun,sequence,
vantagem,noun,advantage,
matar,verb,to kill,
dirigir,verb,to drive,
demonstrar,verb,to demonstrate,
geração,noun,generation,
favor,noun,please,
dispor,verb,to dispose,
atualmente,adverb,currently,
universidade,noun,university,
investir,verb,to invest,
aquisição,noun,acquisition,
erro,noun,error,
distribuição,noun,distribution,
abordar,verb,to address,
guerra,noun,war,
tendência,noun,trend,
Janeiro,proper noun,January,
superior,adjective,higher,
companhia,noun,company,
exame,noun,examination,
alimentar,adjective,food-related,
domínio,noun,domain,
França,proper noun,France,
leito,noun,bed,
associado,noun,associate,
transformar,verb,to transform,
obrigar,verb,to force,
olho,noun,eye,
ambiental,adjective,environmental,
desejar,verb,to wish,
carta,noun,letter,
sintoma,noun,symptom,
diário,adjective,"daily, everyday",
afetar,verb,to affect,
morador,noun,resident,
francês,adjective,French,
voz,noun,voice,
medicamento,noun,medicine,
transmitir,verb,to transmit,
desempenho,noun,performance,
categoria,noun,category,
instrumento,noun,instrument,
recuperação,noun,recovery,
volume,noun,volume,
transmissão,noun,transmission,
urbano,adjective,urban,
comentar,verb,to comment,
Jorge,proper noun,George,
suporte,noun,support,
ilha,noun,island,
pra,preposition,to,
corte,noun,cut,
foto,noun,photo,
potencial,noun,potential,
regional,adjective,regional,
administrativo,adjective,administrative,
existência,noun,existence,
legal,adjective,legal,
alvo,noun,target,
fiscal,adjective,tax,
Fernando,proper noun,Ferdinand,
americano,adjective,American,
cabeça,noun,head,
ressaltar,verb,to highlight,
impedir,verb,to prevent,
etapa,noun,stage,
rapidamente,adverb,quickly,
praia,noun,beach,
